Employee ID,Profits Value,Expenses Value
1,9598,5833
2,9583,5599
3,8739,6012
4,9821,5962
5,9082,5944
6,8830,6094
7,8539,5574
8,9404,5685
9,8927,6245
10,9511,6502
11,9718,6185
12,9310,6925
13,8438,5112
14,8081,5465
15,8448,5793
16,9963,5768
17,8558,5462
18,8022,6039
19,8989,5023
20,8163,5698
21,9345,5901
22,8095,6552
23,9319,5119
24,8905,6182
25,8758,5884
26,8720,5154
27,9429,5684
28,8864,6591
29,9268,6833
30,9293,5239
31,9159,6862
32,9532,5982
33,8691,5686
34,9667,5224
35,8824,5271
36,8774,5421
37,9820,5293
38,9503,5406
39,8549,5872
40,9291,5376
41,9187,5866
42,9371,5796
43,8589,5179
44,9199,6419
45,8713,6123
46,8178,5118
47,8801,6561
48,9349,6979
49,9741,5935
50,8974,6894
51,8373,6145
52,8629,6245
53,9132,5255
54,9428,6888
55,8384,5535
56,9301,5859
57,8616,5881
58,8624,6214
59,8203,5923
60,9029,6575
61,8436,5115
62,9468,5445
63,8536,6915
64,8359,6021
65,8546,5185
66,9888,5261
67,9716,6339
68,8698,5649
69,8673,5963
70,8278,5488
71,9471,5281
72,8898,6139
73,9643,5733
74,8258,6568
75,9239,5711
76,8649,6209
77,9715,6482
78,8398,6191
79,9309,6759
80,9590,5329
81,8285,5442
82,8148,6348
83,8775,5144
84,9779,6259
85,8085,6164
86,8724,5484
87,9915,5743
88,9175,6439
89,8218,5134
90,8146,6784
91,8271,5428
92,9862,5282
93,8895,5369
94,9035,5361
95,9001,6618
96,8222,5375
97,8949,5618
98,9919,6931
99,9728,6858
100,9413,6035
101,9752,6329
102,9303,5623
103,8762,5598
104,9411,6883
105,9219,6289
106,9254,5847
107,9154,5828
108,9414,5981
109,8621,5379
110,8242,5404
111,8786,6137
112,9553,5327
113,9156,5717
114,8736,5867
115,8626,5547
116,9786,5567
117,9466,5887
118,8286,6077
119,9506,6487
120,8092,6115
121,8699,5285
122,8906,5215
123,9886,6327
124,8746,6497
125,9866,6639
126,9763,5247
127,8715,5960
128,9173,5336
129,9832,5199
130,8773,5443
131,9375,6257
132,9685,6562
133,8385,6159
134,9375,5147
135,9814,5564
136,8649,6896
137,8794,5205
138,9484,5266
139,8572,6136
140,9614,5406
141,8881,6498
142,8202,6902
143,8313,5298
144,9593,6126
145,8511,5698
146,9232,5022
147,9923,6353
148,9575,6653
149,8475,5058
150,9555,5484
151,9362,5724
152,9651,5904
153,9492,5588
154,9711,6821
155,9348,5228
156,9765,5239
157,8483,6793
158,9743,5473
159,9231,6608
160,9302,5622
161,9521,5791
162,9793,5398
163,9442,5212
164,8628,6128
165,9302,5636
166,9602,6908
167,9419,5296
168,8618,6218
169,9214,5196
170,9784,5366
171,8984,5364
172,9684,6018
173,9322,6806
174,8378,5578
175,9671,6926
176,8993,5053
177,9865,5502
178,8478,6768
179,9610,5201
180,9623,6523
181,8645,6544
182,8725,6341
183,9684,5024
184,8642,4102
185,9902,5962
186,8741,5921
187,8083,5283
188,9064,5654
189,9882,6672
190,8632,5452
191,9226,6604
192,9399,5229
193,9781,6481
194,9365,6899
195,8251,5681
196,9552,5142
197,9825,5559
198,8775,5353
199,9172,6832
200,8971,5829
201,8093,6653
202,8126,5273
203,9416,5723
204,9386,5844
205,8746,6421
206,9866,5251
207,9686,6628
208,9216,6227
209,9886,5168
210,9405,5857
211,9448,5478
212,9132,6391
213,9585,6168
214,8455,6147
215,9415,5681
216,9555,6873
217,9745,6068
218,9603,5685
219,8522,6668
220,9703,6027
221,9813,6898
222,9663,5197
223,9278,6308
224,9442,5947
225,8368,5138
226,8142,5637
227,9024,5428
228,9959,6567
229,9918,6478
230,8433,6607
231,9363,5043
232,9393,6248
233,9866,6562
234,9826,5359
235,9656,5149
236,9476,5944
237,8468,5494
238,8896,6609
239,9719,5871
240,8272,6611
241,9812,6893
242,8763,5074
243,8369,5454
244,9564,5133
245,9076,6567
246,9856,6641
247,9929,5483
248,9273,5962
249,9386,5641
250,9126,6289
251,9546,5687
252,8756,6235
253,8238,5431
254,9732,5685
255,9448,6205
256,8929,5195
257,9888,6045
258,9651,5321
259,9539,5923
260,9873,6071
261,8658,6613
262,9863,6934
263,9264,6024
264,9614,6185
265,8948,6755
266,9554,5939
267,9168,5711
268,9172,5367
269,9782,6033
270,8913,5024
271,9134,6617
272,9181,5857
273,8681,5107
274,8248,5177
275,9859,5107
276,9552,6426
277,8298,5346
278,8342,5546
279,9621,6913
280,9445,5437
281,9182,6249
282,9863,5383
283,9553,6411
284,8764,6856
285,9752,5339
286,9452,5755
287,8604,6764
288,8081,6131
289,8129,6309
290,8771,6701
291,9387,5866
292,8962,6326
293,9669,6799
294,9717,6756
295,9312,6082
296,8723,5043
297,8479,5319
298,9351,5721
299,9597,6295
300,8887,6652
