Employee ID,Profits Value,Expenses Value
1,9598,5833
2,9583,5599
3,8739,6012
4,9821,5962
5,9082,5944
6,8830,6094
7,8539,5574
8,9404,5685
9,8927,6245
10,9511,6502
11,9718,6185
12,9310,6925
13,8438,5112
14,8081,5465
15,8448,5793
16,9963,5768
17,8558,5462
18,8022,6039
19,8989,5023
20,8163,5698
21,9345,5901
22,8095,6552
23,9319,5119
24,8905,6182
25,8758,5884
26,8720,5154
27,9429,5684
28,8864,6591
29,9268,6833
30,9293,5239
31,9159,6862
32,9532,5982
33,8691,5686
34,9667,5224
35,8824,5271
36,8774,5421
37,9820,5293
38,9503,5406
39,8549,5872
40,9291,5376
41,9187,5866
42,9371,5796
43,8589,5179
44,9199,6419
45,8713,6123
46,8178,5118
47,8801,6561
48,9349,6979
49,9741,5935
50,8974,6894
51,8373,6145
52,8629,6245
53,9132,5255
54,9428,6888
55,8384,5535
56,9301,5859
57,8616,5881
58,8624,6214
59,8203,5923
60,9029,6575
61,8436,5115
62,9468,5445
63,8536,6915
64,8359,6021
65,8546,5185
66,9888,5261
67,9716,6339
68,8698,5649
69,8673,5963
70,8278,5488
71,9471,5281
72,8898,6139
73,9643,5733
74,8258,6568
75,9239,5711
76,8649,6209
77,9715,6482
78,8398,6191
79,9309,6759
80,9590,5329
81,8285,5442
82,8148,6348
83,8775,5144
84,9779,6259
85,8085,6164
86,8724,5484
87,9915,5743
88,9175,6439
89,8218,5134
90,8146,6784
91,8271,5428
92,9862,5282
93,8895,5369
94,9035,5361
95,9001,6618
96,8222,5375
97,8949,5618
98,9919,6931
99,9728,6858
100,9413,6035
101,9752,6329
102,9303,5623
103,8762,5598
104,9411,6883
105,9219,6289
106,9254,5847
107,9154,5828
108,9414,5981
109,8621,5379
110,8242,5404
111,8786,6137
112,9553,5327
113,9156,5717
114,8736,5867
115,8626,5547
116,9786,5567
117,9466,5887
118,8286,6077
119,9506,6487
120,8092,6115
121,8699,5285
122,8906,5215
123,9886,6327
124,8746,6497
125,9866,6639
126,9763,5247
127,8715,5960
128,9173,5336
129,9832,5199
130,8773,5443
131,9375,6257
132,9685,6562
133,8385,6159
134,9375,5147
135,9814,5564
136,8649,6896
137,8794,5205
138,9484,5266
139,8572,6136
140,9614,5406
141,8881,6498
142,8202,6902
143,8313,5298
144,9593,6126
145,8511,5698
146,9232,5022
147,9923,6353
148,9575,6653
149,8475,5058
150,9555,5484
151,9362,5724
152,9651,5904
153,9492,5588
154,9711,6821
155,9348,5228
156,9765,5239
157,8483,6793
158,9743,5473
